"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 12:18:37 GMT 2024","Mon Aug 26 12:18:37 GMT 2024","21","","DefaultTests","","DefaultTests","someTest","Positive tests [1] 4, 2, 2",""
"passed","Mon Aug 26 12:18:37 GMT 2024","Mon Aug 26 12:18:37 GMT 2024","2","","DefaultTests","","DefaultTests","someTest","Positive tests [2] 7, 5, 2",""
"failed","Mon Aug 26 12:18:37 GMT 2024","Mon Aug 26 12:18:37 GMT 2024","36","","DefaultTests","","DefaultTests","negativeTest","Negative test",""
