"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 12:00:42 GMT 2024","Mon Aug 26 12:00:42 GMT 2024","2","","DefaultTests","","DefaultTests","someTest","Positive tests [2] 7, 5, 2",""
"failed","Mon Aug 26 12:00:41 GMT 2024","Mon Aug 26 12:00:41 GMT 2024","37","","DefaultTests","","DefaultTests","negativeTest","Negative test",""
"passed","Mon Aug 26 12:00:42 GMT 2024","Mon Aug 26 12:00:42 GMT 2024","25","","DefaultTests","","DefaultTests","someTest","Positive tests [1] 4, 2, 2",""
